,user_name,total_star,durability_star,price_star,design_star,delievery_star,date,review,help
38,신진숙15,4.5,5.0,4.0,4.0,4.0,2020.09.03,"편하고,좋아요~ 색상도 재질도 만족합니다.",0
39,jangmh86,4.5,5.0,5.0,3.0,3.0,2020.07.08,사진에서 보는 것 보다 훨씬 고급져 보입니다. 편안함은 덤~ 너무 만족해서 하나 더 사서 같이 앉아 티비보고 영화보고 하려고 해요~,0
40,슈슈아롸,4.5,5.0,4.0,4.0,4.0,2020.01.06,체어자체는 이쁜데 원래 놓으려했던 부분에 안어울려서 그게 아쉽네요.,0
41,mingmingdi,4.3,4.0,4.0,4.0,4.0,2021.08.03,"배송 엄청 빠르네요! 설치는 랜치로 다리만 조립하면 되어 쉬웠구요. 의자가 쿠션감이 좋습니다. 목받침 조절 가능한 게 누워있을 때나 tv 볼 때 은근 편리하구요, 색깔도 어두운 브라운이라 어디나 잘 어울리네요~ 다만 폭이 약간 좁은 편이라 몸집이 있으신 분들은 불편하실 것 같아요.",0
42,얼그레이밀크티러버,4.3,4.0,4.0,4.0,4.0,2021.03.20,제가 생각한것보단 높이나 크기가 작은편이예요..그리구 쿠션이 확 푹신하고 감기는 느낌이고 그렇진 않아요.그래도 편하고 좋아요. 인테리어가 어떠냐에 따라 할아버지 의자냐 빈티지냐로 갈릴듯요.,0
43,개밀보리,4.3,4.0,5.0,4.0,4.0,2021.01.14,2인용쇼파를 버리고 일인용으로 알아보던중에 리클라이너 치고 저렴해서 구매하게 되었습니다. 가죽컬러는 마음에 쏙드네요! 생각보다 의자자체는 낮은데 앉았을때 엄청 편해요 조립도 쉬웠습니다!,0
44,최정원133,4.3,4.0,4.0,4.0,4.0,2020.11.20,조금 낮은 듯 싶고 디자인은 올드합니다. 여러가지 비교하다가 고장이 잦지는 안겠다 싶어 구매했습니다.,0
45,eesanga,4.3,4.0,5.0,3.0,3.0,2020.09.19,배송빠르고 조립은 마음데로 하시지말고 설명서데로 하면 그리어렵지 않아요 근데 목부분이 약간 불편해요 약간 고속버스나 기차의자 앉은 자세 가 되네요,0
46,LHS920428,4.3,5.0,3.0,4.0,4.0,2020.05.01,조립이 쉽고 편안합니다~각도 조절도 잘되구요! 빈티지한 느낌이 나는데 개인적으로는 원하던 디자인이 아니라서 덮개를 덮어서 사용하려고합니다,0
47,김육재,4.0,4.0,4.0,4.0,4.0,2021.05.11,"조립 쉽습니다. 체격이 크신 분한텐 작을 듯 한데, 저희가 쓰기엔 좋네요. 팔걸이 높이도 적당합니다.",0
48,ssam72,4.0,4.0,4.0,4.0,4.0,2021.04.24,편하고 넘 좋아요 칼라도 다양했으면 좋겠어요~,0
49,pepepang,4.0,4.0,4.0,4.0,4.0,2021.03.06,엄청 편해요!!! ㅎㅎㅎ 공간이 꽉 차긴한다 그래도 편해서 좋아요,0
50,향지진,3.8,4.0,4.0,4.0,4.0,2020.04.15,굿굿굿굿!!!! 튼튼해요 조립도 쉽고 편안하네요,2
51,케빈35,3.8,3.0,3.0,4.0,4.0,2020.09.13,생각보다 별로예요. 배송은 빨라요. 근데 그냥 쓰고 있어요,1
52,HYE KYUNG,3.8,4.0,4.0,3.0,3.0,2020.09.25,"아직 사용하진 않았지만 상품평을 보고 주문했어요., 쿠션감도 좋고 편할것같아요.. 시골에서 쓸꺼라서 아버님이 좋아하실것 같아서 마음이 뿌듯하네요..^^",0
